call_id,group,duration_s,duration_min,speech_s,speech_ratio,mean_pause_s,p90_pause_s,mean_segment_s,word_count,words_per_min,questions_per_100_words,transcript_confidence,direct_contact_proxy,wrong_party_proxy,objection_proxy,handling_proxy,empathy_proxy,legal_pressure_proxy,options_proxy,negotiation_proxy,commitment_proxy,refusal_proxy,effective_proxy,structure_score_0_5,payment_context_hits,outcome_proxy,rms_dbfs,energy_active_ratio,clipping_pct
2d454b7b-9f12-4acb-8101-d3ba74bb84ff,Humano,578.9,9.6483,569.8,0.9843,0.0,0.0,3.584,1617,170.27,3.154,0.5019,1,0,1,1,1,0,1,1,0,0,1,5,25,Negociación,-19.659,0.7099,0.00043
2e50e9db-53c9-4472-ad05-1ba1032dd707,Humano,123.4,2.0567,112.32,0.9102,0.0,0.0,3.51,247,131.94,1.619,0.4586,1,0,0,0,0,0,1,1,1,0,1,4,12,Compromiso,-19.37,0.6661,0.00152
306c762c-73a1-4690-962d-53f1a14f05b6,Humano,132.6,2.21,121.92,0.9195,0.827,1.104,2.488,342,168.31,2.047,0.5074,1,0,0,0,0,0,1,1,0,0,1,4,5,Negociación,-21.453,0.7273,0.0
336a8602-1b56-4ca6-9dcc-7491b9a92a8a,Humano,76.0,1.2667,69.83,0.9188,0.0,0.0,2.91,203,174.42,0.985,0.4762,1,0,1,0,0,0,0,1,1,0,1,1,9,Compromiso,-21.896,0.7316,0.0
380f5075-47be-435f-b595-7e2c48dbb21b,Humano,74.56,1.2427,64.15,0.8604,0.0,0.0,2.789,197,184.26,3.046,0.519,1,0,0,0,0,0,1,1,0,0,1,5,10,Negociación,-21.273,0.7116,0.0
38482ca0-4501-4b4c-99b5-16313e8eb12f,Humano,299.5,4.9917,289.8,0.9676,0.0,0.0,3.97,790,163.56,0.886,0.4983,1,0,1,1,1,0,1,1,0,0,1,5,13,Negociación,-18.632,0.715,0.00142
440cb585-d675-4ed9-afa4-934e2a0aae90,Humano,201.9,3.365,179.32,0.8882,0.0,0.0,3.898,498,166.63,0.201,0.5012,1,0,0,0,0,1,1,1,0,0,1,3,9,Negociación,-22.636,0.7063,0.0
50e0f632-d195-4476-b049-3720482d65d9,Humano,116.42,1.9403,93.81,0.8058,0.921,1.4,3.752,228,145.83,0.0,0.4242,1,0,0,0,0,0,1,1,1,0,1,3,5,Compromiso,-17.876,0.642,0.0
635a7986-ddd2-47f3-a6de-82a217053afa,Humano,166.74,2.779,139.77,0.8383,0.886,1.338,2.637,355,152.39,1.972,0.4689,1,0,0,0,0,0,1,1,1,0,1,3,17,Compromiso,-17.485,0.6559,0.00082
63b9a147-5c33-40ba-87c7-124e4be56cda,Humano,243.4,4.0567,226.82,0.9319,8.08,8.08,6.13,326,86.24,0.307,0.4599,1,0,0,0,0,0,1,1,0,0,1,5,15,Negociación,-20.698,0.4846,0.00098
66c2db61-5a3d-4020-a90a-007a029d0879,Humano,137.76,2.296,109.35,0.7938,0.0,0.0,3.527,267,146.5,1.873,0.5296,1,0,0,0,1,0,1,1,1,0,1,4,21,Compromiso,-19.277,0.6362,0.00045
67197ac4-63d9-4567-9e89-896e715ab906,Humano,395.24,6.5873,341.09,0.863,25.5,25.5,3.101,1138,200.18,0.791,0.4915,1,0,1,1,0,0,1,1,0,0,1,4,11,Negociación,-18.808,0.7396,3e-05
6854b6cc-c858-4dd4-b326-b7d6fe55843a,Humano,160.78,2.6797,134.65,0.8375,1.14,1.978,2.207,232,103.38,3.017,0.4793,1,0,0,0,0,0,1,1,0,0,1,4,3,Negociación,-19.11,0.6751,0.00023
693045ed-afc8-4c9c-9eee-f7e34281fb16,Humano,177.64,2.9607,162.77,0.9163,0.6,0.85,3.322,460,169.56,4.348,0.4969,1,0,1,1,0,0,1,0,0,0,0,3,1,Objeción / rechazo,-18.684,0.6347,0.00028
6bbff5d5-7d85-4587-94d9-4e44d4e4055b,Humano,294.54,4.909,280.6,0.9527,0.0,0.0,3.301,798,170.63,1.378,0.5691,1,0,0,0,0,0,1,1,1,0,1,4,27,Compromiso,-21.096,0.6863,0.0
73ddf5ba-7005-41a6-88b5-be98fb909764,Humano,145.24,2.4207,121.92,0.8394,0.16,0.16,2.835,279,137.3,2.151,0.5007,1,0,0,0,0,0,1,1,1,0,1,3,19,Compromiso,-18.643,0.7002,0.00293
74aa7e2d-4d44-45cc-a3e5-97fb9383a960,Humano,118.26,1.971,104.49,0.8836,0.0,0.0,3.603,256,147.0,1.562,0.5734,1,0,0,0,0,0,1,1,0,0,1,4,11,Negociación,-21.24,0.7088,0.0
74b16f62-f04d-42c8-9872-ea9b9ed1dd75,Humano,643.48,10.7247,624.17,0.97,0.0,0.0,3.185,1831,176.01,2.294,0.4947,1,0,1,1,0,1,1,1,0,1,1,5,46,Negociación,-19.555,0.597,0.00027
77d258d0-9b2e-4086-b624-f280eed0957b,Humano,283.16,4.7193,270.14,0.954,0.0,0.0,3.335,706,156.81,1.275,0.5178,1,0,1,1,1,0,1,1,1,0,1,4,27,Compromiso,-21.329,0.6954,4e-05
7ea6c8f3-f6f7-42e8-8034-701caa6e62aa,Humano,129.88,2.1647,110.57,0.8513,0.0,0.0,3.567,265,143.8,1.887,0.487,1,0,0,0,0,1,1,1,0,0,1,3,9,Negociación,-21.96,0.7293,0.0
82ee7afd-e2d3-4cfe-b82e-f7920f57f7ab,Humano,186.02,3.1003,174.14,0.9361,0.0,0.0,2.638,430,148.16,0.698,0.6862,1,0,1,1,1,0,1,1,0,0,1,4,9,Negociación,-18.974,0.6277,0.0002
91b9fd77-d5d5-408f-ac90-fd78080780da,Humano,81.64,1.3607,68.66,0.841,0.0,0.0,2.289,191,166.91,0.0,0.4562,1,0,1,0,0,1,0,1,0,1,0,3,3,Negociación,-21.0,0.6634,0.0
92778da9-c37a-4eee-9ca5-81f835e7c5a4,Humano,176.56,2.9427,162.85,0.9223,0.0,0.0,4.79,431,158.8,0.0,0.5586,1,0,0,0,1,0,1,1,0,0,1,4,8,Negociación,-20.14,0.7185,7e-05
93d0abfc-ece6-488b-bee8-950abb980520,Humano,175.46,2.9243,159.47,0.9089,1.05,1.05,3.322,320,120.4,20.312,0.4654,1,0,0,0,0,0,0,0,0,0,0,2,1,Información / cierre,-21.692,0.6928,0.0
9919c667-3ebe-4e77-98a6-58623c85f678,Humano,152.86,2.5477,135.05,0.8835,0.0,0.0,2.078,431,191.48,7.193,0.6055,1,0,0,0,0,0,1,1,0,0,1,4,6,Negociación,-22.281,0.7146,0.0
a3383d00-b984-4cb8-845b-77e19c520ffd,Humano,135.16,2.2527,123.14,0.9111,0.0,0.0,4.246,302,147.15,0.331,0.4702,1,0,0,0,1,1,1,1,1,0,1,5,8,Compromiso,-21.783,0.7339,0.0
ab2ac983-c562-4f79-a570-ee22de052d88,Humano,350.68,5.8447,291.41,0.831,19.585,35.221,4.857,676,139.19,1.183,0.5908,1,0,0,0,0,1,1,1,0,0,1,5,12,Negociación,-19.86,0.7043,0.00021
ae0573ba-193e-42ac-bcc8-4c376a122f8e,Humano,308.64,5.144,294.06,0.9528,0.0,0.0,3.722,764,155.89,0.524,0.5134,1,0,0,0,0,0,0,1,1,0,1,4,19,Compromiso,-21.177,0.6974,0.0
b7318057-111f-4bd0-adbc-943bd06ce4e0,Humano,285.6,4.76,277.7,0.9723,0.0,0.0,3.086,584,126.18,8.39,0.6443,1,0,1,1,0,0,1,1,1,0,1,5,26,Compromiso,-19.6,0.6688,0.00092
b954108b-c0c2-45e8-9032-1a3e87d60778,Humano,105.46,1.7577,96.97,0.9195,0.0,0.0,1.469,184,113.85,0.543,0.5963,1,0,0,0,0,0,1,0,0,0,0,1,0,Información / cierre,-21.195,0.6662,0.0
c067f714-3f61-478d-90da-b366c1f4da54,Humano,88.44,1.474,79.06,0.8939,0.0,0.0,3.765,387,293.7,1.55,0.4273,1,0,0,0,1,0,1,1,0,0,1,3,2,Negociación,-22.041,0.6802,0.0
c5d3d94f-8e64-459a-9794-509fc000611a,Humano,109.82,1.8303,74.82,0.6813,0.0,0.0,3.741,94,75.38,0.0,0.3705,1,0,0,0,0,0,0,0,0,0,0,0,0,Información / cierre,-22.491,0.5901,0.0
ce33bc23-16ba-43ec-afc5-9eac1cf0bf98,Humano,1233.2,20.5533,1173.33,0.9515,2.557,6.632,3.847,2854,145.94,1.402,0.5079,1,0,1,1,0,1,1,1,1,0,1,5,61,Compromiso,-24.837,0.5098,0.0
d741fe26-bbd4-41ab-a3c5-0c94791c6a1f,Humano,304.24,5.0707,284.66,0.9356,1.032,1.785,3.31,755,159.14,5.298,0.6373,1,0,0,0,0,1,1,1,0,0,1,5,13,Negociación,-20.59,0.7054,4e-05
e76a6feb-b941-4dfc-aebf-4288c13c539c,Humano,208.44,3.474,186.61,0.8953,0.0,0.0,4.147,428,137.61,0.701,0.5071,1,0,0,0,1,0,1,1,1,0,1,5,19,Compromiso,-20.5,0.661,0.00018
e7d964af-28a2-47e1-8fa2-dcab580267c0,Humano,126.5,2.1083,110.94,0.877,2.005,2.681,5.547,253,136.83,0.395,0.5855,1,0,0,0,0,0,1,1,0,0,1,3,8,Negociación,-21.289,0.6734,0.0
e98181dc-2d7b-41ea-9524-59c721651a39,Humano,152.4,2.54,136.92,0.8984,1.836,3.522,3.423,344,150.74,0.581,0.4635,1,0,0,0,0,0,1,1,1,0,1,4,19,Compromiso,-20.352,0.7084,8e-05
eaaa5092-71c6-47ba-8c34-9fa95854812a,Humano,209.58,3.493,194.12,0.9262,0.0,0.0,3.529,653,201.83,0.919,0.6131,1,0,1,1,1,0,1,1,1,0,1,4,11,Compromiso,-23.092,0.553,0.0
f613df46-85a0-46bd-a148-7826aac2451c,Humano,276.52,4.6087,260.16,0.9408,0.0,0.0,3.212,814,187.73,1.106,0.4634,1,0,1,1,0,0,1,1,1,0,1,4,22,Compromiso,-21.588,0.6518,9e-05
f75a5ac6-d705-47f3-9ab1-f9e7aad6eab6,Humano,141.12,2.352,127.28,0.9019,0.0,0.0,5.303,331,156.03,3.323,0.555,1,0,1,1,0,0,1,0,0,0,0,2,0,Objeción / rechazo,-20.04,0.7056,0.0
07c816c7-cb2b-4178-ab85-e501f1c38bd9,IA,141.92,2.3653,137.06,0.9658,0.0,0.0,3.115,351,153.66,2.849,0.6705,1,0,0,0,0,1,1,1,0,0,1,5,11,Negociación,-20.174,0.6057,9e-05
0aef8aeb-0086-4f38-b53d-a771fc949c2b,IA,83.4,1.39,68.26,0.8185,1.302,2.352,3.25,176,154.7,2.841,0.5974,1,0,0,0,0,1,1,1,0,0,1,4,6,Negociación,-17.097,0.7151,0.00075
12fb0266-c7af-4439-b62b-e9ce0c2e947f,IA,472.48,7.8747,466.26,0.9868,1.693,2.072,5.014,1064,136.92,1.128,0.649,1,0,0,0,1,1,1,1,1,0,1,4,31,Compromiso,-19.851,0.6487,0.00029
19b3eddf-e2d6-4b68-befc-bdb10a10719a,IA,92.1,1.535,80.34,0.8723,3.01,3.01,2.976,189,141.15,1.058,0.7029,1,0,0,0,1,1,1,1,0,0,1,3,4,Negociación,-17.835,0.6953,0.00027
1a132947-7135-429f-ba15-825ac02ba601,IA,434.46,7.241,415.79,0.957,1.548,3.706,3.923,905,130.59,1.436,0.6342,1,0,0,0,1,1,1,1,1,0,1,5,42,Compromiso,-19.049,0.6163,0.00035
239a604a-3b58-445a-bfb4-88113ba4f232,IA,67.16,1.1193,59.15,0.8807,0.0,0.0,2.958,141,143.03,0.709,0.709,0,1,0,0,1,1,0,0,0,0,0,0,0,Tercero / no titular,-19.298,0.592,0.00037
293e667b-63e6-43e4-a811-06249526467a,IA,90.82,1.5137,87.38,0.9621,0.32,0.32,3.972,187,128.4,1.604,0.6355,1,0,0,0,1,1,1,1,0,0,1,4,12,Negociación,-18.922,0.6131,0.0
3056dcb7-265d-42d8-a3c6-8bb2200860de,IA,222.88,3.7147,215.29,0.9659,0.0,0.0,3.364,359,100.05,1.95,0.6692,1,0,0,0,0,1,1,1,0,0,1,5,12,Negociación,-18.796,0.5695,0.0
3147bab7-9e7f-496d-ae97-52b280194924,IA,201.42,3.357,200.53,0.9956,0.0,0.0,3.234,568,169.95,0.352,0.619,0,1,0,0,1,1,1,0,0,0,0,4,0,Tercero / no titular,-18.886,0.7178,0.0
32616618-6ce3-484f-a1d9-c014394a3492,IA,66.6,1.11,65.41,0.9821,0.0,0.0,2.973,93,85.31,5.376,0.639,1,0,0,0,1,1,0,0,0,0,0,1,0,Información / cierre,-18.525,0.521,0.00038
3350acd3-f649-47c8-adf6-ce1c08312d8f,IA,185.06,3.0843,182.36,0.9854,0.0,0.0,3.647,452,148.72,6.416,0.6368,1,0,0,0,0,1,1,1,0,0,1,5,2,Negociación,-18.364,0.5569,0.00149
355812a5-2733-46fb-a2d3-5b388817fef4,IA,295.56,4.926,289.07,0.978,0.0,0.0,6.284,398,82.61,2.261,0.7047,1,0,0,0,0,0,1,1,0,0,1,5,20,Negociación,-18.521,0.5055,4e-05
3a02fcc2-2285-4d18-9fca-d8507ee15b7f,IA,314.22,5.237,310.52,0.9882,0.96,0.96,4.313,634,122.5,0.158,0.6834,1,0,0,0,1,1,1,1,1,0,1,5,26,Compromiso,-17.889,0.6898,0.00179
3df056d8-c16b-4665-bc8b-4c1456ed8592,IA,107.28,1.788,104.71,0.976,0.0,0.0,2.992,245,140.39,1.224,0.7107,1,0,0,0,1,1,1,1,0,0,1,4,5,Negociación,-16.763,0.7418,0.0
3e8b2986-1ff4-4f4a-9554-c8b122601a03,IA,156.08,2.6013,152.49,0.977,0.0,0.0,5.083,248,97.58,0.806,0.6887,1,0,0,0,1,1,1,1,0,0,1,4,4,Negociación,-19.617,0.4801,0.0024
41269351-a58b-42bf-8486-151c5aa3a4e2,IA,100.36,1.6727,95.97,0.9563,0.0,0.0,5.645,143,89.4,0.699,0.7539,1,0,0,0,1,0,1,0,0,0,0,2,0,Información / cierre,-18.243,0.4825,0.00648
449d76a1-4755-4f78-afa8-00d57922d108,IA,439.72,7.3287,433.07,0.9849,5.59,5.59,3.465,922,127.74,2.061,0.6837,1,0,1,1,1,1,1,1,0,0,1,5,39,Negociación,-18.421,0.642,0.00011
589afa5a-4b51-4018-a4e8-e219fdf3548f,IA,104.5,1.7417,104.24,0.9975,0.0,0.0,2.673,320,184.19,1.562,0.5893,1,0,0,0,1,1,1,1,0,0,1,4,5,Negociación,-17.018,0.7497,0.0006
5a16e288-5bc6-45a0-845b-8034f62ce376,IA,297.66,4.961,279.35,0.9385,0.0,0.0,3.88,665,142.83,0.602,0.5705,1,0,1,1,1,1,1,1,0,1,1,4,18,Negociación,-18.646,0.6137,0.0008
631a4d16-0c07-4215-9476-ff9c8179413a,IA,239.38,3.9897,239.53,1.0006,0.0,0.0,3.802,264,66.13,4.924,0.5046,1,0,0,0,0,1,1,1,1,0,1,3,14,Compromiso,-19.279,0.6831,0.00047
64a627ae-0339-4595-a414-21ed0c641d16,IA,99.42,1.657,99.17,0.9975,0.0,0.0,9.015,145,87.73,0.0,0.7576,1,0,0,0,0,0,1,0,0,0,0,3,0,Información / cierre,-18.275,0.5258,0.00578
66c23ff9-4946-4870-8e67-850dac6526ef,IA,94.36,1.5727,90.48,0.9589,0.0,0.0,3.12,206,136.6,3.398,0.667,1,0,0,0,0,1,1,1,0,0,1,4,15,Negociación,-16.122,0.748,0.00676
673f40d5-c6de-4cec-8c52-ad89b8382f38,IA,344.7,5.745,337.44,0.9789,1.31,1.31,3.013,824,146.51,1.335,0.7061,1,0,0,0,1,1,1,1,1,0,1,4,23,Compromiso,-20.128,0.6364,0.0
6d1ee3b1-3436-47ec-9754-f4b7f4048889,IA,403.36,6.7227,398.09,0.9869,0.0,0.0,4.327,1260,189.91,7.143,0.7361,1,0,0,0,1,1,1,1,1,0,1,4,19,Compromiso,-19.766,0.7011,0.0004
6d26bb76-d3ae-4890-83df-f5dcb0ef339d,IA,454.06,7.5677,450.35,0.9918,0.0,0.0,4.094,1266,168.67,0.632,0.6355,1,0,1,1,1,1,1,1,1,0,1,5,30,Compromiso,-19.143,0.6841,0.00047
6d8d8dbe-b501-4303-b864-9dc24119df5c,IA,112.82,1.8803,112.88,1.0005,0.0,0.0,2.352,183,97.27,20.219,0.7618,1,0,0,0,0,1,1,1,0,0,1,4,6,Negociación,-17.807,0.608,0.00377
7350b21e-cea7-4a3d-9603-9ec53b47843e,IA,68.58,1.143,62.49,0.9112,0.0,0.0,3.289,86,82.57,8.14,0.6778,1,0,0,0,1,1,1,0,0,0,0,2,0,Información / cierre,-20.479,0.4777,0.00018
79c5d6ae-0a3b-4b2a-8771-882e2b02cf95,IA,561.58,9.3597,550.51,0.9803,0.824,1.692,3.72,1373,149.64,1.675,0.6009,1,0,0,0,1,1,1,1,1,0,1,4,48,Compromiso,-21.253,0.6462,2e-05
7a59be10-fc3c-423b-8619-a13aac8ffea3,IA,60.32,1.0053,57.82,0.9586,0.0,0.0,3.614,75,77.83,4.0,0.6484,1,0,0,0,0,1,1,0,0,0,0,2,0,Información / cierre,-19.883,0.4894,0.00021
7c826b7f-a4cb-44ce-9461-533e1368ce1d,IA,320.04,5.334,304.97,0.9529,2.138,3.017,4.121,644,126.7,1.242,0.701,1,0,0,0,1,1,1,1,0,0,1,5,43,Negociación,-19.387,0.558,0.0007
7dc52408-8aff-4ac6-bf04-620f378132fe,IA,118.68,1.978,101.65,0.8565,0.0,0.0,5.647,158,93.26,2.532,0.632,1,0,0,0,1,1,1,0,0,0,0,3,0,Información / cierre,-20.688,0.5752,0.0
7df4a150-5c74-4f8a-9b13-88635ce35f92,IA,131.1,2.185,126.37,0.9639,0.0,0.0,3.51,289,137.22,1.038,0.7397,1,0,0,0,1,1,1,1,0,0,1,4,13,Negociación,-17.805,0.6682,0.00019
80b9d804-dfe9-444f-aee1-30688b5c4e09,IA,87.52,1.4587,85.68,0.979,0.0,0.0,3.295,199,139.36,0.503,0.6956,1,0,0,0,0,1,1,1,0,0,1,4,13,Negociación,-17.108,0.6734,0.0
8349b881-cc05-44b6-a5d6-a340bc7e3499,IA,90.7,1.5117,88.41,0.9748,0.0,0.0,3.049,183,124.19,4.918,0.6637,1,0,0,0,1,0,0,0,0,0,0,1,0,Información / cierre,-18.654,0.5978,0.00014
8d9dfa93-e293-4924-92ce-2b166805d181,IA,272.22,4.537,245.93,0.9034,3.64,5.904,4.032,591,144.19,1.184,0.6383,1,0,0,0,1,1,1,1,1,0,1,5,30,Compromiso,-18.363,0.6128,0.0
8eeab89a-aca1-4182-98cd-787defaa3876,IA,88.0,1.4667,85.18,0.968,0.0,0.0,2.839,201,141.58,6.965,0.7003,1,0,0,0,1,0,0,0,0,0,0,3,0,Información / cierre,-18.435,0.67,0.00043
925483e1-0626-4e64-89e7-fdd8091916ce,IA,533.7,8.895,513.77,0.9627,2.925,5.296,2.919,1376,160.69,3.779,0.6583,1,0,0,0,1,1,1,1,1,0,1,5,51,Compromiso,-16.983,0.6579,0.00316
9cf48045-df44-4648-b6ad-870d3c145615,IA,255.54,4.259,252.52,0.9882,0.0,0.0,3.157,583,138.52,0.343,0.6851,1,0,0,0,1,1,1,1,1,0,1,4,25,Compromiso,-17.684,0.7495,0.00205
a64feaf9-108a-491e-90f8-013a7c3b2e3d,IA,485.0,8.0833,483.2,0.9963,0.0,0.0,4.931,1168,145.03,0.599,0.6958,1,0,0,0,1,1,1,1,1,0,1,5,48,Compromiso,-20.822,0.6492,3e-05
b056678f-9281-47ab-819d-616ba1c7904a,IA,99.86,1.6643,99.86,1.0,0.0,0.0,9.986,127,76.31,1.575,0.7144,1,0,0,0,0,0,1,0,0,0,0,3,0,Información / cierre,-18.264,0.4719,0.00513
b1584952-7de1-4cc6-a83a-9fffa0f747cb,IA,104.52,1.742,102.95,0.985,0.0,0.0,3.55,226,131.71,1.77,0.7469,1,0,0,0,0,1,1,1,0,0,1,4,11,Negociación,-18.316,0.6248,0.0
b97bdab1-7884-48dd-8acd-0d8b7b513c67,IA,114.26,1.9043,107.88,0.9442,0.0,0.0,3.72,349,194.1,0.573,0.612,0,1,0,0,1,1,1,0,0,0,0,4,0,Tercero / no titular,-18.255,0.6382,0.00066
bdc7c768-e08e-4ce8-9e8e-ebb3618d311f,IA,263.72,4.3953,259.12,0.9826,0.0,0.0,3.986,540,125.04,2.963,0.6971,1,0,0,0,1,1,1,1,1,0,1,5,27,Compromiso,-21.116,0.5595,0.0
c1a958de-6df6-488a-8342-3cc44f4e31c6,IA,166.04,2.7673,158.17,0.9526,0.38,0.38,2.929,345,130.87,2.029,0.6911,1,0,1,1,1,1,1,1,0,0,1,4,12,Negociación,-18.795,0.6695,0.00023
c3d816dd-e0cc-46ef-b2db-a7d31a0bd587,IA,68.08,1.1347,64.17,0.9426,0.0,0.0,3.775,72,67.32,1.389,0.5819,0,1,0,0,1,1,1,0,0,0,0,2,0,Tercero / no titular,-20.767,0.401,0.0
c8b57e01-57b6-4d85-9613-c786aef9f8a0,IA,313.66,5.2277,304.83,0.9718,0.625,1.508,3.425,674,132.66,1.187,0.6653,1,0,0,0,1,1,1,1,1,0,1,5,34,Compromiso,-20.834,0.6035,0.0
da02116f-5f55-4cc7-a800-373f4939fa01,IA,461.22,7.687,455.45,0.9875,1.74,1.74,3.96,768,101.17,1.953,0.6309,1,0,0,0,1,1,1,1,0,0,1,5,27,Negociación,-18.54,0.6959,0.00057
edbc4154-c6ce-4a77-b899-caf949e1815a,IA,107.4,1.79,103.2,0.9609,0.0,0.0,6.88,99,57.56,0.0,0.7372,1,0,0,0,0,0,0,0,0,0,0,1,0,Información / cierre,-20.767,0.5268,0.00023
f55b661d-8a1b-4528-976e-d7b2f565b2ea,IA,486.06,8.101,483.92,0.9956,0.07,0.07,4.136,1260,156.22,0.635,0.654,1,0,0,0,1,1,1,1,1,0,1,5,46,Compromiso,-20.872,0.6638,3e-05
fc9da4d5-10dd-4aab-afb0-de918f081149,IA,85.22,1.4203,82.51,0.9682,0.0,0.0,4.125,197,143.26,5.076,0.6122,1,0,0,0,1,1,0,0,0,0,0,0,0,Información / cierre,-19.035,0.5417,0.0
